1540502809	84
1540502810	76
1540502811	73
1540502812	72
1540502813	69
1540502814	88
1540502815	95
1540502816	82
1540502817	64
1540502818	62
1540502819	87
1540502820	79
1540502821	83
1540502822	76
1540502823	74
1540502824	72
1540502825	78
1540502826	70
1540502827	68
1540502828	138
1540502829	66
1540502830	66
1540502831	63
1540502832	61
1540502833	81
1540502834	80
1540502835	64
1540502836	78
1540502837	76
1540502838	72
1540502839	70
1540502840	70
1540502841	68
1540502842	67
1540502843	65
1540502844	63
1540502845	242
1540502846	84
1540502847	79
1540502848	77
1540502849	75
1540502850	74
1540502851	71
1540502852	78
1540502853	68
1540502854	81
1540502855	66
1540502856	71
1540502857	84
1540502858	81
1540502859	79
1540502860	85
1540502861	75
1540502862	65
1540502863	63
1540502864	64
1540502865	61
1540502866	69
1540502867	76
1540502868	92
1540502869	67
1540502870	64
1540502871	63
1540502872	61
1540502873	80
1540502874	78
1540502875	86
1540502876	84
1540502877	74
1540502878	81
1540502879	79
1540502880	68
1540502881	94
1540502882	103
1540502883	72
1540502884	64
1540502885	62
1540502886	71
1540502887	66
1540502888	68
1540502889	63
1540502890	72
1540502891	74
1540502892	71
1540502893	71
1540502894	69
1540502895	67
1540502896	66
1540502897	65
1540502898	62
1540502899	60
1540502900	80
1540502901	78
1540502902	77
1540502903	74
1540502904	84
1540502905	72
1540502906	77
1540502907	69
1540502908	70
1540502909	68
1540502910	67
1540502911	67
1540502912	64
1540502913	64
1540502914	81
1540502915	79
1540502916	77
1540502917	76
1540502918	73
1540502919	73
1540502920	71
1540502921	70
1540502922	68
1540502923	67
1540502924	66
1540502925	81
1540502926	63
1540502927	61
1540502928	81
1540502929	78
1540502930	83
1540502931	74
1540502932	74
1540502933	71
1540502934	68
1540502935	75
1540502936	67
1540502937	66
1540502938	64
1540502939	61
1540502940	61
1540502941	80
1540502942	78
1540502943	76
1540502944	73
1540502945	73
1540502946	70
1540502947	70
1540502948	68
1540502949	87
1540502950	105
1540502951	62
1540502952	62
1540502953	80
1540502954	85
1540502955	77
1540502956	73
1540502957	74
1540502958	72
1540502959	69
1540502960	70
1540502961	68
1540502962	67
1540502963	66
1540502964	63
1540502965	63
